measure_name,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
title_count,15720,15867,17987,24040,22491,22557,22826,26036,26323,22044,19958,21330,22047,22612,24416,18967,21095,9691,15187,14500
copies_count_k,54059.8,54209.6,56111.7,58158.1,48514.4,45058.3,46565.7,62120.5,69575.7,55312,36409.8,48978.1,45127.2,47022.1,61250.6,41946.7,44753.6,11704.2,24664,34017.2
